code,name,level,faculty,semesters_2020,semesters_2021,semesters_2022,semesters_2023,semesters_2024,semesters_2025,semesters_2026
ACB1020,Accounting in business,Undergraduate,Business & Economics,Semester 1,Semester 1,Semester 1,Semester 1,Semester 1,Semester 1,Semester 1
ACB1120,Financial accounting 1,Undergraduate,Business & Economics,Semester 1,Semester 1,Semester 1,Semester 1,Semester 1,Semester 1,Semester 1
ACB2120,Financial accounting 2,Undergraduate,Business & Economics,Semester 1,Semester 1,Semester 1,Semester 1,Semester 1,Semester 1,Semester 1
ACB2220,Management accounting 1,Undergraduate,Business & Economics,Semester 1,Semester 1,Semester 1,Semester 1,Semester 1,Semester 1,Semester 1
ACB2420,Accounting information systems,Undergraduate,Business & Economics,Semester 2,Semester 2,Semester 2,Semester 2,Semester 2,Semester 2,Semester 2
ACB3120,Financial accounting 3,Undergraduate,Business & Economics,Semester 2,Semester 2,Semester 2,Semester 2,Semester 2,Semester 2,Semester 2
ACB3220,Management accounting 2,Undergraduate,Business & Economics,Semester 2,Semester 2,Semester 2,Semester 2,Semester 2,Semester 2,Semester 1
ACB3620, Assurance and audit services,Undergraduate,Business & Economics,Semester 2,Semester 2,Semester 2,Semester 2,Semester 2,Semester 2,Semester 2
ACC1100,Introduction to financial accounting,Undergraduate,Business & Economics,"Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2"
ACC1200,Accounting for managers,Undergraduate,Business & Economics,"Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2",,,
ACC2100,Financial accounting,Undergraduate,Business & Economics,"Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2"
ACC2200,Introduction to management accounting,Undergraduate,Business & Economics,"Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2"
ACC2400,Accounting information systems,Undergraduate,Business & Economics,"Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2"
ACC3100,Advanced financial accounting,Undergraduate,Business & Economics,"Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2"
ACC3200,Management accounting,Undergraduate,Business & Economics,"Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2"
ACC3600,Auditing and assurance,Undergraduate,Business & Economics,"Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2"
ACC5903,Accounting for business,Postgraduate,Business & Economics,"Semester 1, Semester 2","Semester 1, Semester 2",,,,,
ACF1100,Introduction to financial accounting,Undergraduate,Business & Economics,"Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2"
ACF1200,Accounting for managers,Undergraduate,Business & Economics,"Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2","Semester 1, Semester 2",,,
