code,name,level,semesters,faculty
ACB1020,Accounting in business,Undergraduate,Semester 1,Business & Economics
ACB1120,Financial accounting 1,Undergraduate,Semester 1,Business & Economics
ACB2120,Financial accounting 2,Undergraduate,Semester 1,Business & Economics
ACB2220,Management accounting 1,Undergraduate,Semester 1,Business & Economics
ACB2420,Accounting information systems,Undergraduate,Semester 2,Business & Economics
ACB3120,Financial accounting 3,Undergraduate,Semester 2,Business & Economics
ACB3220,Management accounting 2,Undergraduate,Semester 1,Business & Economics
ACB3620, Assurance and audit services,Undergraduate,Semester 2,Business & Economics
ACC1001,Accounting fundamentals,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACC1100,Introduction to financial accounting,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACC2100,Financial accounting,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACC2200,Introduction to management accounting,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACC2400,Accounting information systems,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACC3100,Advanced financial accounting,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACC3200,Management accounting,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACC3600,Auditing and assurance,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACF1001,Accounting fundamentals,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACF1100,Introduction to financial accounting,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACF2100,Financial accounting,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACF2200,Introduction to management accounting,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACF2400,Accounting information systems,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACF3100,Advanced financial accounting,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACF3200,Management accounting,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACF3600,Auditing and assurance,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACF5000,Business communication for accounting professionals,Postgraduate,"Semester 1, Semester 2",Business & Economics
ACF5003,Research project 1,Postgraduate,Semester 2,Business & Economics
ACF5004,Research project 2,Postgraduate,Semester 2,Business & Economics
ACF5080,Management control systems,Postgraduate,"Semester 1, Semester 2",Business & Economics
ACF5100,Strategic management accounting,Postgraduate,"Semester 1, Semester 2",Business & Economics
ACF5120,Forensic accounting and fraud examination,Postgraduate,Semester 2,Business & Economics
ACF5130,Financial statement analysis and business valuation,Postgraduate,"Semester 1, Semester 2",Business & Economics
ACF5150,Financial reporting issues,Postgraduate,Semester 2,Business & Economics
ACF5320,Business analytics,Postgraduate,Semester 1,Business & Economics
ACF5330,Integrated systems for business enterprises,Postgraduate,Semester 2,Business & Economics
ACF5350,Applied contemporary accounting,Postgraduate,"Semester 1, Semester 2",Business & Economics
ACF5401,Foundations of accounting research,Postgraduate,Semester 1,Business & Economics
ACF5402,Current issues in accounting research ,Postgraduate,Semester 2,Business & Economics
ACF5510,Integrated accounting,Postgraduate,"Semester 1, Semester 2",Business & Economics
ACF5904,Accounting information systems,Postgraduate,"Semester 1, Semester 2",Business & Economics
ACF5950,Introduction to financial accounting,Postgraduate,"Semester 1, Semester 2",Business & Economics
ACF5953,Financial accounting,Postgraduate,"Semester 1, Semester 2",Business & Economics
ACF5955,Management accounting,Postgraduate,"Semester 1, Semester 2",Business & Economics
ACF5956,Advanced financial accounting,Postgraduate,"Semester 1, Semester 2",Business & Economics
ACF5957,Auditing and assurance,Postgraduate,"Semester 1, Semester 2",Business & Economics
ACI1001,Accounting fundamentals,Unknown,Not offered in 2026?,Business & Economics
ACI5903,Resource allocation and business model performance,Postgraduate,Not offered in 2026?,Business & Economics
ACM5260,Digital accounting,Postgraduate,Semester 2,Business & Economics
ACM5903,Accounting for business,Postgraduate,Semester 1,Business & Economics
ACO5160,Introduction to accounting analytics,Postgraduate,Not offered in 2026?,Business & Economics
ACO5170,Predictive analytics in business,Postgraduate,Not offered in 2026?,Business & Economics
ACW1020,Accounting in business,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACW1120,Financial accounting 1,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACW2120,Financial accounting 2,Undergraduate,"Semester 1, Semester 2",Business & Economics
ACW2220,Management accounting 1,Undergraduate,"Semester 1, Semester 2",Business & Economics
